Date,Weight,Salinity,Meam Val,Max Val,Min Val,Var Val,Min Len,Middle Len,Max Len
2024-06-17,11.0,4189.564704326506,-13.129469690034716,235.8551794996988,-298.8291065197727,25965.26801161387,622.3640256478703,634.2587427827063,654.9299181239696
2024-06-24,12.0,5258.644367809075,84.65834528641567,178.22809533982308,-178.2280953398249,10731.414574435154,615.7896941862986,619.0356718413221,693.0000615906445
2024-06-24,13.0,4901.882992034669,-8.232673116244905,178.228095339824,-178.5332804345835,5247.2762154850925,640.8070004579365,651.1617217510232,666.80121394048
2024-06-19,14.0,4407.002980641092,12.357147943561177,136.04744610939906,-138.42382071393058,4310.0367194567225,646.587908068837,659.4841291137634,733.2937873557319
2024-07-05,15.0,5080.416272469251,54.9955748161251,178.5332804345826,-32.081057161169156,6749.824267004946,681.2620332933689,752.2406001783926,754.1976880510833
2024-07-05,19.0,5080.416272469251,35.90258491775162,178.5332804345826,-46.33930478835555,3817.7529089496393,756.1545321459481,766.3654147907014,849.8534907859118
2024-06-06,20.0,4192.238125756604,-33.803928749453824,267.0450961841684,-178.52514216539112,23106.553980722187,707.4183315217349,816.0837619093481,972.7716247985853
2024-06-16,20.1,4351.4552242601785,80.49968972848505,340.71270892462735,-372.19967243466635,27606.546918910288,749.8593365223398,756.4589802959823,758.6247823996973
2024-05-31,21.0,4370.466221096428,15.387025564337865,149.414553259885,-121.49215165664737,2839.051338685202,811.3186212420005,843.2861421804123,859.7659066054952
2024-05-31,22.0,4372.248502049827,3.980427462589887,183.27789137445234,-173.17829930519565,5213.44054231975,669.6249685661353,709.2795551390105,810.6767169015851
2024-06-24,22.1,4848.117516607155,73.29650766523204,299.1261533453362,-107.28273364462166,18910.469405364634,715.0964589511498,770.0359305453665,883.3062961504944
2024-06-06,23.0,4191.941078931038,-44.081748914050124,273.8771731721954,-182.3867508977537,14084.205365552212,668.0443888857689,725.7152823480958,744.8414871202777
2024-06-19,23.1,4401.953184606463,35.64561906796389,212.98257393108815,-293.18521683401104,34505.80125459029,757.7404593531624,784.6424474498137,814.7540447133175
2024-06-06,24.0,4191.941078931038,-19.129815566475077,270.312611265399,-353.48572242398495,19235.258949077954,770.5628330231515,843.792431193861,900.6328484210669
2024-05-31,25.0,4376.407157607755,-15.743481755018411,187.43654693238022,-169.01964374726776,4769.8705359041605,722.184682452257,755.6485805515283,856.0575969337748
2024-06-19,25.1,4429.28149255857,71.88533178706203,354.3768629006827,-294.373404136275,30709.218100279722,688.3795131462776,846.7630394162911,858.5571309585522
2024-06-24,26.0,5289.240190842411,-40.65146844894957,387.35719880774195,-393.5870438754464,55109.2106891075,853.8134743118846,913.4256118323666,921.2952232407075
2024-06-16,27.0,4364.5252845851,32.43751335184711,442.89681691946134,-448.2436597796577,33508.88052404413,886.8710217214045,889.5848896530051,923.9374505078165
2024-06-16,27.1,4361.25776950387,94.22325306965274,439.6293018382312,-184.1690318511528,27147.729590589857,720.6262587435355,821.3349799935863,874.2995505503646
2024-05-31,28.0,4370.169174270862,-5.762708415987572,181.19856359548703,-107.53095085502719,2959.8545995272534,776.7031861181224,800.7155489786742,890.417506886485
2024-06-16,28.1,4311.35390280872,93.1538844976142,428.9356161178421,-55.84480320647799,18569.459225898925,760.9381846492918,814.1855783670679,908.7214964666907
2024-07-05,30.0,5101.8036439100315,8.93581957457227,164.20178838465563,-156.84072389904486,4130.52242043134,756.6038003098676,802.203545020465,834.0742391934044
2024-06-06,31.0,4191.346985279906,23.407289854630903,355.2680033773827,-204.36821598966344,20698.1124248335,847.9349210807145,949.4173456390959,967.4916355877813
2024-06-16,31.1,4324.42396313364,123.86852626117732,516.8614764854883,-484.780419324321,58651.206101097036,844.5560690274358,864.0073824017278,1090.1235823516697
2024-06-16,32.0,4346.702475051117,42.59651478621663,492.80068361461144,-291.40293588061286,41001.446273346985,857.0975433672269,883.2641007680486,889.1057118434212
2024-06-06,34.0,4190.455844803206,68.85545416628445,443.49091057059377,-276.55059460229404,45088.74503197677,938.9657822431482,1035.6481711639904,1052.2671621781974
2024-06-19,34.1,4415.320291756951,-20.318002868739995,404.57777642139945,-397.44865260780716,32070.962772653776,742.3118008217746,915.1398183603656,931.9377747609278
2024-06-19,35.0,4407.894121117791,53.52783796705971,265.2628152307698,-208.82391837316027,19327.75936863406,903.7068310248495,1017.7466859909175,1178.3888256903224
2024-06-19,35.5,4383.239234595782,-30.655232398449765,372.4967192602312,-340.4156620990625,42006.244786877316,768.7286863638946,805.3645849938167,870.9573765703886
2024-06-16,36.0,4335.711742505163,82.04433322143237,624.3924273405155,-266.74804935860266,46070.132553332405,914.6903743809451,950.4015855775068,983.0298168456422
2024-06-17,36.1,4189.26765750094,-158.68241421755724,534.9813328450359,-534.3872391939049,77911.78195758777,887.7121880508903,902.7354472770289,909.8514806992064
2024-07-05,37.0,5095.565660573137,-32.2116763817256,193.68266853846853,-341.30680257576296,17244.999625394576,944.8636048321828,968.8399433382097,979.2498205124698
2024-06-24,38.0,5256.862086855678,184.3733024079107,618.756675923948,-126.5419476912748,37413.84828365156,829.6833418338664,857.990252359667,871.7403239633569
2024-06-17,40.0,4188.970610675374,122.62092959379781,534.6842860194697,-452.6993621631527,114623.52127401772,777.0380747240599,893.968974057893,931.9509675394922
2024-07-05,40.1,5115.170751060518,-37.94183172093849,202.58186590167043,-147.0381786553544,9918.580707709054,755.7423611543574,914.9226611959148,987.0224686052354
2024-06-06,44.0,4192.238125756605,38.55667795851525,441.7086296171965,-274.76831364889495,26473.03559629973,727.5547366000335,895.6053961013874,925.0771424788394
